time_s,visitor_id,map_x,map_y,n_cams,cams
0.0,1,452.7,670.1,2,0;1
0.2,1,452.7,670.1,2,0;1
0.4,1,452.7,670.1,2,0;1
0.6,1,452.7,670.1,2,0;1
0.8,1,452.7,670.1,2,0;1
1.0,1,452.7,670.1,2,0;1
1.2,1,452.7,670.1,2,0;1
1.4,1,452.4,670.2,2,0;1
1.6,1,451.2,670.2,2,0;1
1.8,1,449.4,671.0,2,0;1
2.0,1,446.4,672.2,2,0;1
2.2,1,440.9,674.0,2,0;1
2.4,1,437.4,675.1,2,0;1
2.6,1,436.2,675.4,2,0;1
2.8,1,435.6,675.4,2,0;1
3.0,1,435.3,675.5,2,0;1
3.2,1,435.1,675.5,2,0;1
3.4,1,435.0,675.5,2,0;1
3.6,1,435.0,675.5,2,0;1
3.8,1,435.2,675.4,2,0;1
4.0,1,435.3,675.4,2,0;1
4.2,1,435.2,675.4,2,0;1
4.4,1,435.0,675.5,2,0;1
4.6,1,435.4,673.9,2,0;1
4.8,1,436.2,673.2,2,0;1
5.0,1,437.7,672.7,2,0;1
5.2,1,439.3,672.5,2,0;1
5.4,1,440.0,672.4,2,0;1
5.6,1,440.4,672.6,2,0;1
5.8,1,441.3,673.3,2,0;1
6.0,1,442.7,673.7,2,0;1
6.2,1,442.2,674.3,2,0;1
6.4,1,442.3,674.5,2,0;1
6.6,1,442.3,674.6,2,0;1
6.8,1,442.2,674.7,2,0;1
7.0,1,442.2,674.6,2,0;1
7.2,1,442.3,674.6,2,0;1
7.4,1,442.4,674.6,2,0;1
7.6,1,442.0,674.7,2,0;1
7.8,1,441.8,674.7,2,0;1
8.0,1,441.9,674.7,2,0;1
8.2,1,442.0,674.7,2,0;1
8.4,1,442.0,674.7,2,0;1
8.6,1,441.9,674.8,2,0;1
8.8,1,441.6,675.2,2,0;1
9.0,1,440.4,675.6,2,0;1
9.2,1,439.2,675.9,2,0;1
9.4,1,438.2,676.0,2,0;1
