frame,time_s,label,conf,x1,y1,x2,y2,cx,cy,w,h,person_id
45,1.5,shopping bag,0.262,175.1,440.8,227.0,578.8,201.0,509.8,52.0,138.0,
46,1.533,shopping bag,0.267,175.1,440.8,227.0,578.8,201.0,509.8,52.0,138.0,
48,1.6,shopping bag,0.266,175.0,440.8,227.3,578.8,201.2,509.8,52.2,138.0,
49,1.633,shopping bag,0.266,175.0,440.8,227.3,578.8,201.2,509.8,52.2,138.0,
54,1.8,shopping bag,0.274,175.0,440.8,227.3,578.8,201.2,509.8,52.2,138.0,
55,1.833,shopping bag,0.274,175.0,440.8,227.3,578.8,201.2,509.8,52.2,138.0,
56,1.867,shopping bag,0.281,175.0,440.8,227.3,578.8,201.2,509.8,52.2,138.0,
57,1.9,shopping bag,0.28,175.0,440.8,227.3,578.8,201.2,509.8,52.2,138.0,
58,1.933,shopping bag,0.285,175.0,440.8,227.3,578.8,201.2,509.8,52.2,138.0,
59,1.967,shopping bag,0.285,175.0,440.8,227.3,578.8,201.2,509.8,52.2,138.0,
60,2.0,shopping bag,0.294,175.1,440.8,227.1,578.9,201.1,509.8,52.0,138.0,
61,2.033,shopping bag,0.294,175.0,440.8,227.1,578.8,201.1,509.8,52.1,138.0,
62,2.067,shopping bag,0.294,175.0,440.8,227.1,578.9,201.1,509.9,52.1,138.0,
63,2.1,shopping bag,0.339,175.0,440.9,227.0,578.8,201.0,509.8,52.1,137.9,
64,2.133,shopping bag,0.34,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
65,2.167,shopping bag,0.341,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
66,2.2,shopping bag,0.341,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
67,2.233,shopping bag,0.338,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
68,2.267,shopping bag,0.334,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
69,2.3,shopping bag,0.339,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
70,2.333,shopping bag,0.331,175.0,440.9,227.1,578.8,201.0,509.8,52.1,137.9,
71,2.367,shopping bag,0.331,175.0,440.9,227.0,578.8,201.0,509.9,52.1,137.9,
72,2.4,shopping bag,0.345,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
73,2.433,shopping bag,0.356,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
74,2.467,shopping bag,0.356,175.0,440.9,227.0,578.8,201.0,509.8,52.0,137.9,
75,2.5,shopping bag,0.301,175.1,440.9,227.0,578.8,201.1,509.8,52.0,137.9,
76,2.533,shopping bag,0.29,175.1,440.9,227.1,578.8,201.1,509.8,52.0,137.9,
77,2.567,shopping bag,0.284,175.1,440.9,227.1,578.8,201.1,509.8,52.0,137.9,
78,2.6,shopping bag,0.281,175.1,440.9,227.1,578.8,201.1,509.8,52.0,137.9,
79,2.633,shopping bag,0.276,175.1,440.9,227.1,578.8,201.1,509.8,52.0,137.9,
80,2.667,shopping bag,0.255,175.1,440.9,227.3,578.7,201.2,509.8,52.2,137.8,
81,2.7,shopping bag,0.331,175.0,440.9,227.5,578.6,201.2,509.8,52.5,137.7,
