frame,time_s,label,conf,x1,y1,x2,y2,cx,cy,w,h,person_id
0,0.0,shopping bag,0.405,300.2,241.4,391.8,328.6,346.0,285.0,91.5,87.1,5
0,0.0,shopping bag,0.398,806.2,414.5,874.4,498.3,840.3,456.4,68.2,83.8,1
2,0.153,shopping bag,0.405,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
2,0.153,shopping bag,0.395,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
4,0.306,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
4,0.306,shopping bag,0.394,806.2,414.4,874.4,498.3,840.3,456.3,68.2,83.9,1
6,0.458,shopping bag,0.408,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
6,0.458,shopping bag,0.394,806.2,414.4,874.4,498.3,840.3,456.3,68.2,83.9,1
8,0.611,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
8,0.611,shopping bag,0.395,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
10,0.764,shopping bag,0.408,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
10,0.764,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
12,0.917,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
12,0.917,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
14,1.069,shopping bag,0.407,300.3,241.4,391.7,328.7,346.0,285.0,91.5,87.2,5
14,1.069,shopping bag,0.395,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
16,1.222,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
16,1.222,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
18,1.375,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
18,1.375,shopping bag,0.397,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
20,1.528,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
20,1.528,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
22,1.68,shopping bag,0.407,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
22,1.68,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
24,1.833,shopping bag,0.407,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
24,1.833,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
26,1.986,shopping bag,0.407,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
26,1.986,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
28,2.139,shopping bag,0.408,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
28,2.139,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
30,2.291,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
30,2.291,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
32,2.444,shopping bag,0.407,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
32,2.444,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
34,2.597,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
34,2.597,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
36,2.75,shopping bag,0.406,300.3,241.4,391.7,328.6,346.0,285.0,91.5,87.2,5
36,2.75,shopping bag,0.396,806.2,414.4,874.4,498.3,840.3,456.4,68.2,83.9,1
38,2.902,shopping bag,0.421,300.3,241.5,391.6,328.9,345.9,285.2,91.3,87.4,5
38,2.902,shopping bag,0.375,806.5,410.6,874.3,501.6,840.4,456.1,67.8,91.0,1
40,3.055,handbag,0.569,819.3,401.8,876.9,506.2,848.1,454.0,57.7,104.4,1
40,3.055,shopping bag,0.424,300.6,241.2,391.7,327.9,346.1,284.6,91.1,86.7,5
42,3.208,handbag,0.595,832.1,392.1,882.4,497.5,857.3,444.8,50.3,105.4,1
