day,timestamp,shopper_id,action,row,col,details
Monday,10:34,1,ENTERED,h,8,gender~female age~adult
Monday,10:34,1,MOVING,g,8,
Monday,10:35,1,MOVING,g,7,
Monday,10:36,1,MOVING,g,6,
Monday,10:37,1,MOVING,g,5,
Monday,10:38,1,MOVING,g,4,
Monday,10:39,1,MOVING,f,4,
Monday,10:40,1,MOVING,e,4,
Monday,10:41,1,MOVING,d,4,
Monday,10:42,1,ARRIVED_SECTION,d,3,Stockings
Monday,10:43,2,ENTERED,h,8,gender~female age~adult
Monday,10:43,1,BROWSING,d,3,Stockings
Monday,10:43,2,MOVING,g,7,
Monday,10:44,1,BROWSING,d,3,Stockings
Monday,10:44,2,MOVING,g,5,
Monday,10:45,1,BROWSING,d,3,Stockings
Monday,10:45,2,MOVING,f,4,
Monday,10:46,1,BROWSING,d,3,Stockings
Monday,10:46,2,MOVING,d,4,
Monday,10:47,1,BROWSING,d,3,Stockings
Monday,10:47,2,ARRIVED_SECTION,d,3,Stockings
Monday,10:48,1,BROWSING,d,3,Stockings
Monday,10:48,2,BROWSING,d,3,Stockings
Monday,10:49,1,BROWSING,d,3,Stockings
Monday,10:49,2,BROWSING,d,3,Stockings
Monday,10:50,1,BROWSING,d,3,Stockings
Monday,10:50,2,BROWSING,d,3,Stockings
Monday,10:51,1,BROWSING,d,3,Stockings
Monday,10:51,2,BROWSING,d,3,Stockings
Monday,10:52,3,ENTERED,h,8,gender~male age~adult
Monday,10:52,1,BROWSING,d,3,Stockings
Monday,10:52,2,BROWSING,d,3,Stockings
Monday,10:52,3,MOVING,g,8,
Monday,10:53,2,BROWSING,d,3,Stockings
Monday,10:53,3,MOVING,g,7,
Monday,10:54,1,MOVING,e,3,
Monday,10:54,3,MOVING,g,6,
Monday,10:55,4,ENTERED,h,8,gender~male age~adult
Monday,10:55,1,MOVING,f,3,
Monday,10:55,2,MOVING,f,3,
Monday,10:55,3,MOVING,g,5,
Monday,10:55,4,MOVING,g,8,
Monday,10:56,1,MOVING,g,3,
Monday,10:56,2,ARRIVED_SECTION,g,3,Jeans
Monday,10:56,3,MOVING,g,4,
Monday,10:56,4,MOVING,f,8,
Monday,10:57,1,PAUSED,g,3,
Monday,10:57,2,BROWSING,g,3,Jeans
Monday,10:57,3,MOVING,f,4,
Monday,10:57,4,MOVING,e,8,
Monday,10:58,1,PAUSED,g,3,
Monday,10:58,2,BROWSING,g,3,Jeans
Monday,10:58,3,PAUSED,f,4,
Monday,10:58,4,MOVING,e,9,
Monday,10:59,1,MOVING,h,3,
Monday,10:59,2,BROWSING,g,3,Jeans
Monday,10:59,3,PAUSED,f,4,
Monday,10:59,4,MOVING,e,10,
Monday,11:00,1,MOVING,h,4,
Monday,11:00,2,BROWSING,g,3,Jeans
Monday,11:00,3,PAUSED,f,4,
Monday,11:00,4,MOVING,e,11,
Monday,11:01,1,MOVING,h,5,
Monday,11:01,2,BROWSING,g,3,Jeans
Monday,11:01,3,PAUSED,f,4,
Monday,11:01,4,MOVING,e,12,
Monday,11:02,1,MOVING,h,6,
Monday,11:02,2,BROWSING,g,3,Jeans
Monday,11:02,3,MOVING,e,4,
Monday,11:02,4,MOVING,e,13,
Monday,11:03,1,MOVING,h,7,
Monday,11:03,2,BROWSING,g,3,Jeans
Monday,11:03,3,MOVING,d,4,
Monday,11:03,4,ARRIVED_SECTION,d,13,Hats & Handbags
Monday,11:04,1,PAUSED,h,7,
Monday,11:04,2,BROWSING,g,3,Jeans
Monday,11:04,3,ARRIVED_SECTION,d,3,Stockings
Monday,11:04,4,BROWSING,d,13,Hats & Handbags
Monday,11:05,1,PAUSED,h,7,
Monday,11:05,2,BROWSING,g,3,Jeans
Monday,11:05,3,BROWSING,d,3,Stockings
Monday,11:05,4,BROWSING,d,13,Hats & Handbags
Monday,11:06,1,PAUSED,h,7,
Monday,11:06,2,BROWSING,g,3,Jeans
Monday,11:06,3,BROWSING,d,3,Stockings
Monday,11:06,4,BROWSING,d,13,Hats & Handbags
Monday,11:07,1,PAUSED,h,7,
Monday,11:07,4,BROWSING,d,13,Hats & Handbags
Monday,11:08,1,MOVING,h,8,
Monday,11:08,2,MOVING,e,3,
Monday,11:08,3,MOVING,e,3,
Monday,11:08,4,BROWSING,d,13,Hats & Handbags
Monday,11:09,1,MOVING,h,9,
Monday,11:09,2,PAUSED,e,3,
Monday,11:09,3,MOVING,f,3,
Monday,11:10,5,ENTERED,h,8,gender~female age~adult
Monday,11:10,1,MOVING,h,10,
Monday,11:10,2,PAUSED,e,3,
Monday,11:10,3,PAUSED,f,3,
Monday,11:10,4,MOVING,e,13,
Monday,11:10,5,MOVING,g,8,
Monday,11:11,1,MOVING,h,11,
Monday,11:11,2,PAUSED,e,3,
Monday,11:11,3,PAUSED,f,3,
Monday,11:11,4,ARRIVED_SECTION,f,13,Skirts & Dresses
Monday,11:11,5,MOVING,f,8,
Monday,11:12,1,MOVING,h,12,
Monday,11:12,2,PAUSED,e,3,
Monday,11:12,3,PAUSED,f,3,
Monday,11:12,4,BROWSING,f,13,Skirts & Dresses
Monday,11:12,5,MOVING,f,7,
Monday,11:13,1,ARRIVED_SECTION,h,13,Skirts & Dresses
Monday,11:13,2,MOVING,c,3,
Monday,11:13,3,MOVING,g,3,
Monday,11:13,4,BROWSING,f,13,Skirts & Dresses
Monday,11:13,5,ARRIVED_SECTION,f,6,Pants
Monday,11:14,1,BROWSING,h,13,Skirts & Dresses
Monday,11:14,2,ARRIVED_SECTION,b,3,Underwear
Monday,11:14,3,MOVING,h,3,
Monday,11:14,4,BROWSING,f,13,Skirts & Dresses
Monday,11:14,5,BROWSING,f,6,Pants
Monday,11:15,1,BROWSING,h,13,Skirts & Dresses
Monday,11:15,2,BROWSING,b,3,Underwear
Monday,11:15,3,MOVING,h,4,
Monday,11:15,5,BROWSING,f,6,Pants
Monday,11:16,1,BROWSING,h,13,Skirts & Dresses
Monday,11:16,2,BROWSING,b,3,Underwear
Monday,11:16,3,MOVING,h,5,
Monday,11:16,4,MOVING,e,13,
Monday,11:16,5,BROWSING,f,6,Pants
Monday,11:17,1,BROWSING,h,13,Skirts & Dresses
Monday,11:17,2,BROWSING,b,3,Underwear
Monday,11:17,3,MOVING,h,6,
Monday,11:17,4,MOVING,e,12,
Monday,11:17,5,BROWSING,f,6,Pants
Monday,11:18,1,BROWSING,h,13,Skirts & Dresses
Monday,11:18,2,BROWSING,b,3,Underwear
Monday,11:18,3,MOVING,h,7,
Monday,11:18,4,MOVING,e,11,
Monday,11:18,5,BROWSING,f,6,Pants
Monday,11:19,1,BROWSING,h,13,Skirts & Dresses
Monday,11:19,3,MOVING,h,8,
Monday,11:19,4,MOVING,e,10,
Monday,11:19,5,BROWSING,f,6,Pants
Monday,11:20,1,BROWSING,h,13,Skirts & Dresses
Monday,11:20,2,MOVING,d,3,
Monday,11:20,3,MOVING,h,9,
Monday,11:20,4,MOVING,e,9,
Monday,11:20,5,BROWSING,f,6,Pants
Monday,11:21,1,BROWSING,h,13,Skirts & Dresses
Monday,11:21,2,MOVING,f,3,
Monday,11:21,3,MOVING,h,10,
Monday,11:21,4,MOVING,e,8,
Monday,11:22,1,BROWSING,h,13,Skirts & Dresses
Monday,11:22,2,MOVING,h,3,
Monday,11:22,3,PAUSED,h,10,
Monday,11:22,4,MOVING,e,7,
Monday,11:22,5,MOVING,g,6,
Monday,11:23,1,BROWSING,h,13,Skirts & Dresses
Monday,11:23,2,MOVING,h,5,
Monday,11:23,3,PAUSED,h,10,
Monday,11:23,4,ARRIVED_SECTION,e,6,Pants
Monday,11:23,5,MOVING,g,5,
Monday,11:24,1,BROWSING,h,13,Skirts & Dresses
Monday,11:24,2,MOVING,h,7,
Monday,11:24,3,PAUSED,h,10,
Monday,11:24,4,BROWSING,e,6,Pants
Monday,11:24,5,MOVING,g,4,
Monday,11:25,1,BROWSING,h,13,Skirts & Dresses
Monday,11:25,2,EXITED,h,8,
