day,shopper_id,gender,age_group,entry_time,exit_time,dwell_min,sections_visited,n_sections,browsing_min,approached_fitting,used_fitting_room,fitting_wait_min,gave_up_fitting,joined_queue,initial_queue_position,queue_wait_min,abandoned_queue,reached_counter,purchased,funnel_stage
Monday,1,female,adult,10:34,13:34,180,Stockings;Skirts & Dresses;Tops;Jeans;Pants,5,75,True,True,0,False,True,2,6,True,False,False,queued
Monday,2,female,adult,10:43,11:25,42,Stockings;Jeans;Underwear,3,20,False,False,,False,False,,0,False,False,False,browsed
Monday,3,male,adult,10:52,12:08,76,Stockings;Skirts & Dresses;Tops;Jeans,4,20,False,False,,False,False,,0,False,False,False,browsed
Monday,4,male,adult,10:55,12:15,80,Hats & Handbags;Skirts & Dresses;Pants,3,13,True,True,0,False,True,2,2,False,True,True,purchased
Monday,5,female,adult,11:10,12:16,66,Pants;Stockings;Jeans,3,22,False,False,,False,True,2,5,False,True,True,purchased
Monday,6,male,adult,11:39,12:00,21,Pants;Stockings,2,5,False,False,,False,True,1,0,False,True,True,purchased
Monday,7,female,adult,11:44,12:57,73,Jeans;Tops;Underwear,3,22,True,True,0,False,True,1,0,False,True,True,purchased
Monday,8,male,adult,11:47,12:59,72,Underwear;Jeans;Tops;Hats & Handbags,4,35,False,False,,False,True,2,3,True,False,False,queued
Monday,9,female,adult,12:01,12:33,32,Tops,1,3,True,True,0,False,True,1,0,False,True,True,purchased
Monday,10,female,adult,12:09,14:38,149,Jeans;Pants;Stockings;Skirts & Dresses;Underwear,5,38,True,True,0,False,True,1,0,False,True,True,purchased
Monday,11,male,adult,12:14,13:27,73,Tops;Stockings;Hats & Handbags;Pants,4,17,False,False,,False,True,1,0,False,True,True,purchased
Monday,12,male,young,12:24,13:19,55,Jeans;Stockings;Skirts & Dresses,3,32,False,False,,False,False,,0,False,False,False,browsed
Monday,13,female,senior,12:28,15:11,163,Jeans;Hats & Handbags;Skirts & Dresses;Pants;Underwear,5,64,True,True,0,False,False,,0,False,False,False,used_fitting
Monday,14,female,young,12:40,14:09,89,Jeans;Hats & Handbags;Pants;Tops,4,29,True,True,0,False,True,1,0,False,True,True,purchased
Monday,15,female,senior,12:42,14:48,126,Jeans;Skirts & Dresses;Pants;Tops,4,42,True,True,0,False,True,2,1,False,True,True,purchased
Monday,16,female,adult,12:44,13:31,47,Tops;Skirts & Dresses,2,16,False,False,,False,True,1,0,False,True,True,purchased
Monday,17,female,adult,13:13,15:14,121,Underwear;Stockings;Skirts & Dresses;Pants,4,32,True,True,0,False,True,1,0,False,True,True,purchased
Monday,18,male,young,13:27,14:31,64,Pants;Hats & Handbags;Tops;Underwear,4,25,True,True,0,False,False,,0,False,False,False,used_fitting
Monday,19,female,young,13:31,14:52,81,Pants;Skirts & Dresses;Jeans,3,21,True,True,0,False,True,1,0,False,True,True,purchased
Monday,20,male,young,13:42,14:06,24,Pants;Underwear,2,6,False,False,,False,False,,0,False,False,False,browsed
Monday,21,female,young,14:01,15:45,104,Skirts & Dresses;Pants;Jeans;Hats & Handbags,4,58,True,True,0,False,True,3,2,False,True,True,purchased
Monday,22,male,young,14:06,15:39,93,Underwear;Skirts & Dresses;Stockings;Jeans;Pants,5,35,False,False,,False,True,4,0,True,False,False,queued
Monday,23,female,young,14:14,15:14,60,Hats & Handbags;Stockings,2,15,True,True,0,False,True,3,0,True,False,False,queued
Monday,24,male,adult,14:22,15:45,83,Underwear;Tops;Jeans,3,15,False,False,,False,True,3,4,False,True,True,purchased
Monday,25,male,young,14:30,15:14,44,Stockings;Skirts & Dresses,2,5,True,True,0,False,True,2,5,False,True,True,purchased
Monday,26,female,young,14:40,15:39,59,Underwear;Hats & Handbags;Skirts & Dresses;Tops,4,32,False,False,,False,True,2,5,True,False,False,queued
Monday,27,male,adult,14:41,15:26,45,Underwear,1,6,False,False,,False,True,2,2,True,False,False,queued
Monday,28,male,young,14:48,15:20,32,Jeans;Underwear,2,6,False,False,,False,True,3,10,False,True,True,purchased
Monday,29,female,adult,14:51,15:24,33,Underwear;Skirts & Dresses,2,9,False,False,,False,True,3,4,False,True,True,purchased
Monday,30,female,senior,14:57,17:32,155,Skirts & Dresses;Jeans;Tops;Hats & Handbags,4,67,True,True,0,False,True,1,0,False,True,True,purchased
Monday,31,female,young,15:03,15:54,51,Stockings;Hats & Handbags;Skirts & Dresses;Pants,4,16,False,False,,False,True,5,8,False,True,True,purchased
Monday,32,male,young,15:08,15:31,23,Pants,1,5,False,False,,False,True,2,4,False,True,True,purchased
Monday,33,male,adult,15:09,15:56,47,Skirts & Dresses;Underwear;Pants;Jeans,4,19,False,False,,False,False,,0,False,False,False,browsed
Monday,34,male,adult,15:23,16:32,69,Tops;Underwear;Jeans;Hats & Handbags,4,21,False,False,,False,False,,0,False,False,False,browsed
Monday,35,male,senior,15:24,16:20,56,Hats & Handbags;Stockings,2,5,False,False,,False,True,1,0,False,True,True,purchased
Monday,36,male,adult,15:29,16:36,67,Hats & Handbags;Skirts & Dresses;Stockings;Jeans,4,21,False,False,,False,False,,0,False,False,False,browsed
Monday,37,female,adult,15:32,18:33,181,Skirts & Dresses;Hats & Handbags;Jeans;Underwear;Pants;Stockings,6,87,True,True,0,False,True,2,4,False,True,True,purchased
Monday,38,male,young,15:43,16:53,70,Skirts & Dresses;Stockings;Underwear,3,16,True,True,0,False,True,1,0,False,True,True,purchased
Monday,39,male,senior,15:51,17:23,92,Hats & Handbags;Skirts & Dresses;Stockings;Tops,4,37,False,False,,False,False,,0,False,False,False,browsed
Monday,40,male,senior,15:55,17:24,89,Skirts & Dresses;Pants;Hats & Handbags;Jeans;Stockings,5,22,False,False,,False,False,,0,False,False,False,browsed
Monday,41,female,adult,16:09,18:40,151,Hats & Handbags;Stockings;Tops;Jeans;Skirts & Dresses;Pants;Underwear,7,78,True,True,0,False,True,1,0,False,True,True,purchased
Monday,42,male,young,16:32,17:50,78,Skirts & Dresses;Underwear;Hats & Handbags;Jeans,4,37,False,False,,False,False,,0,False,False,False,browsed
Monday,43,male,young,16:36,17:43,67,Skirts & Dresses;Pants;Underwear;Stockings,4,31,False,False,,False,True,1,0,False,True,True,purchased
Monday,44,female,senior,16:37,18:30,113,Hats & Handbags;Tops;Underwear,3,28,True,True,0,False,True,2,2,False,True,True,purchased
Monday,45,female,adult,16:56,19:45,169,Hats & Handbags;Pants;Tops;Jeans;Stockings,5,80,True,True,0,False,False,,0,False,False,False,used_fitting
Monday,46,male,adult,17:06,17:46,40,Tops,1,7,True,True,0,False,False,,0,False,False,False,used_fitting
Monday,47,female,adult,17:09,18:19,70,Pants;Hats & Handbags;Tops,3,25,True,True,0,False,True,2,0,True,False,False,queued
Monday,48,male,senior,17:15,18:18,63,Stockings;Pants;Tops,3,19,False,False,,False,True,2,0,False,True,True,purchased
Monday,49,male,senior,17:38,18:57,79,Hats & Handbags;Skirts & Dresses;Stockings;Jeans,4,14,False,False,,False,True,1,0,False,True,True,purchased
Monday,50,male,young,17:39,18:01,22,Underwear;Stockings,2,9,False,False,,False,False,,0,False,False,False,browsed
Monday,51,male,adult,17:41,18:17,36,Hats & Handbags,1,5,False,False,,False,True,3,2,True,False,False,queued
Monday,52,male,adult,17:47,18:01,14,Underwear,1,1,False,False,,False,True,1,0,False,True,True,purchased
Monday,53,male,senior,17:48,20:24,156,Tops;Pants;Skirts & Dresses;Jeans;Hats & Handbags;Underwear,6,58,False,False,,False,True,1,0,False,True,True,purchased
Monday,54,male,senior,17:59,19:01,62,Jeans;Hats & Handbags,2,6,True,True,0,False,True,2,1,False,True,True,purchased
Monday,55,male,young,18:18,18:23,5,Skirts & Dresses,1,1,False,False,,False,False,,0,False,False,False,browsed
Monday,56,female,adult,18:28,19:42,74,Stockings;Underwear;Pants,3,15,True,True,0,False,True,1,0,False,True,True,purchased
Monday,57,female,adult,18:44,19:15,31,Skirts & Dresses,1,2,True,True,0,False,True,1,0,False,True,True,purchased
Tuesday,1,male,adult,10:08,11:20,72,Pants;Hats & Handbags;Underwear;Stockings;Tops,5,22,False,False,,False,False,,0,False,False,False,browsed
Tuesday,2,female,adult,10:48,13:53,185,Hats & Handbags;Stockings;Skirts & Dresses;Jeans;Tops;Pants;Underwear,7,77,False,False,,False,True,2,2,True,False,False,queued
Tuesday,3,male,young,11:00,12:06,66,Pants;Stockings;Tops;Skirts & Dresses;Jeans;Underwear,6,33,False,False,,False,True,2,1,False,True,True,purchased
Tuesday,4,male,young,11:09,11:19,10,Jeans,1,3,False,False,,False,False,,0,False,False,False,browsed
Tuesday,5,male,adult,11:16,11:38,22,Pants,1,3,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,6,male,senior,11:17,12:58,101,Skirts & Dresses;Hats & Handbags;Jeans;Stockings;Tops,5,37,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,7,male,adult,11:20,12:21,61,Underwear;Jeans;Hats & Handbags;Pants,4,27,False,False,,False,False,,0,False,False,False,browsed
Tuesday,8,female,adult,11:27,13:35,128,Pants;Skirts & Dresses;Jeans;Tops;Underwear;Hats & Handbags,6,53,False,False,,False,False,,0,False,False,False,browsed
Tuesday,9,male,senior,11:32,12:07,35,Jeans,1,4,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,10,female,senior,11:39,13:22,103,Tops;Underwear;Skirts & Dresses;Hats & Handbags,4,26,True,True,0,False,True,1,0,False,True,True,purchased
Tuesday,11,female,young,11:51,13:00,69,Skirts & Dresses;Tops;Pants,3,21,True,True,0,False,True,1,0,False,True,True,purchased
Tuesday,12,female,adult,12:22,14:31,129,Jeans;Skirts & Dresses;Stockings;Hats & Handbags,4,48,False,False,,False,True,2,4,False,True,True,purchased
Tuesday,13,female,adult,12:26,13:03,37,Tops,1,6,True,True,0,False,True,2,5,False,True,True,purchased
Tuesday,14,male,young,12:37,13:53,76,Pants;Hats & Handbags;Tops;Underwear;Jeans,5,41,False,False,,False,False,,0,False,False,False,browsed
Tuesday,15,male,adult,12:41,12:59,18,Pants,1,4,False,False,,False,True,2,2,False,True,True,purchased
Tuesday,16,male,adult,12:45,13:52,67,Tops;Stockings,2,7,True,True,0,False,True,1,0,False,True,True,purchased
Tuesday,17,male,adult,12:49,14:09,80,Tops;Stockings;Skirts & Dresses;Pants,4,15,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,18,female,young,12:51,13:26,35,Stockings;Jeans,2,11,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,19,female,senior,12:52,16:29,217,Tops;Stockings;Hats & Handbags;Pants;Skirts & Dresses,5,102,True,True,0,False,True,2,6,False,True,True,purchased
Tuesday,20,female,senior,13:01,15:01,120,Jeans;Tops;Underwear;Pants,4,46,True,True,0,False,False,,0,False,False,False,used_fitting
Tuesday,21,female,adult,13:14,15:46,152,Stockings;Jeans;Pants;Hats & Handbags;Tops;Underwear,6,53,True,True,0,False,True,3,3,False,True,True,purchased
Tuesday,22,male,adult,13:15,14:49,94,Stockings;Jeans;Underwear;Tops;Hats & Handbags;Pants,6,42,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,23,female,adult,13:18,15:36,138,Underwear;Pants;Hats & Handbags;Stockings;Tops;Skirts & Dresses,6,44,True,True,0,False,True,2,1,True,False,False,queued
Tuesday,24,male,adult,13:20,13:32,12,Pants,1,4,False,False,,False,False,,0,False,False,False,browsed
Tuesday,25,female,adult,13:28,16:09,161,Tops;Pants;Jeans;Stockings;Skirts & Dresses;Underwear,6,43,True,True,0,False,True,1,0,False,True,True,purchased
Tuesday,26,female,adult,13:30,16:16,166,Stockings;Tops;Skirts & Dresses;Underwear;Pants,5,63,True,True,0,False,True,2,3,False,True,True,purchased
Tuesday,27,male,adult,13:31,14:58,87,Underwear;Skirts & Dresses;Tops;Pants,4,16,False,False,,False,True,2,3,False,True,True,purchased
Tuesday,28,female,young,13:34,14:13,39,Stockings;Skirts & Dresses;Jeans;Tops,4,14,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,29,female,young,13:35,15:45,130,Jeans;Underwear;Stockings;Hats & Handbags;Pants;Tops;Skirts & Dresses,7,83,True,False,,True,True,1,0,False,True,True,purchased
Tuesday,30,female,adult,13:36,15:53,137,Skirts & Dresses;Jeans;Tops;Hats & Handbags;Stockings;Pants;Underwear,7,66,True,True,0,False,True,2,1,True,False,False,queued
Tuesday,31,female,senior,13:38,15:16,98,Skirts & Dresses;Jeans;Pants;Stockings,4,59,False,False,,False,False,,0,False,False,False,browsed
Tuesday,32,female,adult,13:44,16:39,175,Skirts & Dresses;Jeans;Hats & Handbags;Pants;Underwear;Stockings,6,59,True,True,0,False,True,1,0,False,True,True,purchased
Tuesday,33,male,young,13:45,14:18,33,Underwear;Jeans,2,7,False,False,,False,True,2,4,False,True,True,purchased
Tuesday,34,female,young,13:52,15:34,102,Skirts & Dresses;Tops;Pants;Hats & Handbags;Underwear;Jeans,6,43,False,False,,False,True,2,4,False,True,True,purchased
Tuesday,35,female,adult,13:54,14:55,61,Tops;Underwear;Pants,3,26,False,False,,False,False,,0,False,False,False,browsed
Tuesday,36,male,senior,13:55,14:42,47,Stockings,1,4,True,True,0,False,False,,0,False,False,False,used_fitting
Tuesday,37,male,adult,14:17,15:10,53,Jeans;Underwear;Pants,3,16,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,38,male,young,14:18,15:34,76,Stockings;Hats & Handbags;Pants;Underwear;Tops,5,43,False,False,,False,True,2,3,False,True,True,purchased
Tuesday,39,female,adult,14:23,15:13,50,Stockings;Jeans;Tops,3,22,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,40,male,adult,14:25,15:41,76,Underwear;Tops;Jeans;Hats & Handbags,4,21,False,False,,False,False,,0,False,False,False,browsed
Tuesday,41,female,senior,14:33,16:31,118,Hats & Handbags;Skirts & Dresses;Pants,3,52,True,True,0,False,False,,0,False,False,False,used_fitting
Tuesday,42,male,senior,14:36,15:28,52,Hats & Handbags;Pants,2,10,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,43,male,young,14:39,15:42,63,Underwear;Jeans;Stockings;Hats & Handbags,4,31,False,False,,False,False,,0,False,False,False,browsed
Tuesday,44,female,senior,14:41,16:45,124,Hats & Handbags;Stockings;Tops;Jeans;Pants;Underwear,6,46,False,False,,False,False,,0,False,False,False,browsed
Tuesday,45,male,senior,14:44,17:08,144,Underwear;Hats & Handbags;Jeans;Skirts & Dresses;Stockings,5,38,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,46,female,senior,15:03,17:59,176,Skirts & Dresses;Stockings;Hats & Handbags;Tops;Underwear;Pants;Jeans,7,75,True,False,,True,True,1,0,False,True,True,purchased
Tuesday,47,female,senior,15:17,17:32,135,Skirts & Dresses;Jeans;Pants;Stockings;Hats & Handbags;Tops,6,58,True,True,0,False,False,,0,False,False,False,used_fitting
Tuesday,48,female,adult,15:29,17:19,110,Skirts & Dresses;Pants;Stockings,3,53,True,True,0,False,True,2,3,False,True,True,purchased
Tuesday,49,male,young,15:30,15:53,23,Hats & Handbags;Underwear,2,4,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,50,female,adult,15:34,16:14,40,Skirts & Dresses;Hats & Handbags;Jeans,3,20,False,False,,False,False,,0,False,False,False,browsed
Tuesday,51,male,young,15:39,16:38,59,Jeans;Stockings;Tops,3,24,True,True,0,False,False,,0,False,False,False,used_fitting
Tuesday,52,male,young,15:48,16:42,54,Underwear;Jeans;Hats & Handbags,3,15,False,False,,False,True,2,3,False,True,True,purchased
Tuesday,53,female,young,15:55,16:22,27,Pants;Stockings;Tops,3,10,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,54,female,young,15:56,17:04,68,Jeans;Stockings;Skirts & Dresses;Pants;Hats & Handbags,5,34,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,55,male,adult,15:57,16:34,37,Tops;Jeans,2,20,False,False,,False,True,2,0,True,False,False,queued
Tuesday,56,female,senior,16:05,18:37,152,Jeans;Underwear;Skirts & Dresses;Pants,4,65,True,True,0,False,False,,0,False,False,False,used_fitting
Tuesday,57,female,adult,16:09,18:03,114,Jeans;Underwear;Stockings;Skirts & Dresses,4,35,True,True,0,False,True,2,0,True,False,False,queued
Tuesday,58,female,young,16:10,17:41,91,Hats & Handbags;Skirts & Dresses;Tops;Jeans;Pants;Underwear,6,57,False,False,,False,True,2,0,False,True,True,purchased
Tuesday,59,female,senior,16:17,18:07,110,Tops;Skirts & Dresses;Stockings;Hats & Handbags,4,50,False,False,,False,True,2,0,True,False,False,queued
Tuesday,60,male,adult,16:25,18:22,117,Underwear;Stockings;Skirts & Dresses;Hats & Handbags,4,33,True,True,0,False,True,3,4,False,True,True,purchased
Tuesday,61,female,senior,16:28,20:07,219,Tops;Jeans;Stockings;Skirts & Dresses;Hats & Handbags;Pants;Underwear,7,105,True,True,0,False,True,1,0,False,True,True,purchased
Tuesday,62,male,adult,16:31,17:38,67,Pants;Stockings;Tops;Jeans,4,20,False,False,,False,True,1,0,False,True,True,purchased
Tuesday,63,male,adult,16:32,17:56,84,Stockings;Underwear;Skirts & Dresses;Jeans,4,17,False,False,,False,True,3,1,True,False,False,queued
Tuesday,64,female,senior,16:40,18:04,84,Jeans;Stockings,2,19,True,True,0,False,True,4,3,False,True,True,purchased
Tuesday,65,male,adult,16:47,16:57,10,Jeans,1,4,False,False,,False,False,,0,False,False,False,browsed
Tuesday,66,male,young,16:57,17:49,52,Underwear;Pants;Stockings;Skirts & Dresses,4,20,False,False,,False,False,,0,False,False,False,browsed
Tuesday,67,male,adult,17:00,19:23,143,Underwear;Stockings;Hats & Handbags;Jeans,4,28,True,True,0,False,True,1,0,False,True,True,purchased
