day,shopper_id,gender,age_group,entry_time,exit_time,dwell_min,sections_visited,n_sections,browsing_min,approached_fitting,used_fitting_room,fitting_wait_min,gave_up_fitting,joined_queue,initial_queue_position,queue_wait_min,abandoned_queue,reached_counter,purchased,funnel_stage
Monday,1,female,adult,10:34,13:34,180,Stockings;Skirts & Dresses;Tops;Jeans;Pants,5,80,True,True,0,False,True,2,6,True,False,False,queued
Monday,2,female,adult,10:43,11:25,42,Stockings;Jeans;Underwear,3,23,False,False,,False,False,,0,False,False,False,browsed
Monday,3,male,adult,10:52,12:08,76,Stockings;Skirts & Dresses;Tops;Jeans,4,24,False,False,,False,False,,0,False,False,False,browsed
Monday,4,male,adult,10:55,12:15,80,Hats & Handbags;Skirts & Dresses;Pants,3,16,True,True,0,False,True,2,2,False,True,True,purchased
Monday,5,female,adult,11:10,12:16,66,Pants;Stockings;Jeans,3,25,False,False,,False,True,2,5,False,True,True,purchased
Monday,6,male,adult,11:39,12:00,21,Pants;Stockings,2,7,False,False,,False,True,1,0,False,True,True,purchased
Monday,7,female,adult,11:44,12:57,73,Jeans;Tops;Underwear,3,25,True,True,0,False,True,1,0,False,True,True,purchased
Monday,8,male,adult,11:47,12:59,72,Underwear;Jeans;Tops;Hats & Handbags,4,39,False,False,,False,True,2,3,True,False,False,queued
Monday,9,female,adult,12:01,12:33,32,Tops,1,4,True,True,0,False,True,1,0,False,True,True,purchased
Monday,10,female,adult,12:09,14:38,149,Jeans;Pants;Stockings;Skirts & Dresses;Underwear,5,43,True,True,0,False,True,1,0,False,True,True,purchased
Monday,11,male,adult,12:14,13:27,73,Tops;Stockings;Hats & Handbags;Pants,4,21,False,False,,False,True,1,0,False,True,True,purchased
Monday,12,male,young,12:24,13:19,55,Jeans;Stockings;Skirts & Dresses,3,35,False,False,,False,False,,0,False,False,False,browsed
Monday,13,female,senior,12:28,14:57,149,Jeans;Hats & Handbags;Skirts & Dresses;Pants;Underwear,5,69,True,True,0,False,False,,0,False,False,False,used_fitting
Monday,14,female,young,12:40,14:09,89,Jeans;Hats & Handbags;Pants;Tops,4,33,True,True,0,False,True,1,0,False,True,True,purchased
Monday,15,female,senior,12:42,14:48,126,Jeans;Skirts & Dresses;Pants;Tops,4,46,True,True,0,False,True,2,1,False,True,True,purchased
Monday,16,female,adult,12:44,13:31,47,Tops;Skirts & Dresses,2,18,False,False,,False,True,1,0,False,True,True,purchased
Monday,17,female,adult,13:13,15:11,118,Underwear;Stockings;Skirts & Dresses;Pants,4,36,True,True,0,False,True,1,0,False,True,True,purchased
Monday,18,male,young,13:27,14:31,64,Pants;Hats & Handbags;Tops;Underwear,4,29,True,True,0,False,False,,0,False,False,False,used_fitting
Monday,19,female,young,13:31,14:52,81,Pants;Skirts & Dresses;Jeans,3,24,True,True,0,False,True,1,0,False,True,True,purchased
Monday,20,male,young,13:42,14:06,24,Pants;Underwear,2,8,False,False,,False,False,,0,False,False,False,browsed
Monday,21,female,young,14:01,15:33,92,Skirts & Dresses;Pants;Jeans;Hats & Handbags,4,62,False,False,,False,False,,0,False,False,False,browsed
Monday,22,male,young,14:06,15:48,102,Underwear;Skirts & Dresses;Stockings;Jeans;Pants,5,42,False,False,,False,True,1,0,False,True,True,purchased
Monday,23,female,young,14:14,14:51,37,Hats & Handbags;Stockings,2,17,False,False,,False,False,,0,False,False,False,browsed
Monday,24,male,adult,14:22,15:39,77,Underwear;Tops;Jeans,3,19,False,False,,False,True,1,0,False,True,True,purchased
Monday,25,male,young,14:30,14:56,26,Stockings;Skirts & Dresses,2,8,False,False,,False,True,1,0,False,True,True,purchased
Monday,26,female,young,14:40,15:40,60,Underwear;Hats & Handbags;Skirts & Dresses;Tops,4,39,False,False,,False,True,1,0,False,True,True,purchased
Monday,27,male,adult,14:41,15:10,29,Underwear,1,3,False,False,,False,False,,0,False,False,False,browsed
Monday,28,female,young,14:52,17:17,145,Hats & Handbags;Stockings;Jeans;Pants;Tops;Underwear,6,71,True,True,0,False,True,1,0,False,True,True,purchased
Monday,29,female,young,15:05,16:26,81,Stockings;Jeans;Pants;Underwear;Skirts & Dresses,5,44,True,True,0,False,True,2,0,True,False,False,queued
Monday,30,male,senior,15:20,16:16,56,Hats & Handbags;Skirts & Dresses;Pants,3,30,False,False,,False,False,,0,False,False,False,browsed
Monday,31,male,adult,15:23,15:57,34,Skirts & Dresses;Underwear;Pants;Jeans,4,17,False,False,,False,False,,0,False,False,False,browsed
Monday,32,female,adult,15:32,18:25,173,Pants;Tops;Jeans;Hats & Handbags;Skirts & Dresses,5,78,True,True,0,False,True,2,5,False,True,True,purchased
Monday,33,female,young,15:46,18:01,135,Tops;Stockings;Jeans;Skirts & Dresses;Underwear;Pants,6,53,True,True,0,False,True,2,3,False,True,True,purchased
Monday,34,male,senior,15:47,16:33,46,Hats & Handbags;Stockings,2,5,False,False,,False,True,1,0,False,True,True,purchased
Monday,35,male,adult,15:52,17:45,113,Hats & Handbags;Skirts & Dresses;Stockings;Jeans;Underwear;Pants,6,53,False,False,,False,True,2,1,False,True,True,purchased
Monday,36,male,young,15:53,16:54,61,Pants;Hats & Handbags;Tops;Underwear,4,25,False,False,,False,True,1,0,False,True,True,purchased
Monday,37,female,young,16:06,17:34,88,Pants;Skirts & Dresses;Jeans;Underwear;Stockings;Hats & Handbags,6,55,False,False,,False,True,1,0,False,True,True,purchased
Monday,38,female,adult,16:10,18:40,150,Underwear;Hats & Handbags;Skirts & Dresses;Pants;Stockings,5,45,True,True,0,False,True,1,0,False,True,True,purchased
Monday,39,female,young,16:21,17:07,46,Jeans;Skirts & Dresses;Tops;Hats & Handbags,4,31,False,False,,False,False,,0,False,False,False,browsed
Monday,40,female,adult,16:25,19:09,164,Hats & Handbags;Jeans;Skirts & Dresses;Stockings;Tops;Pants,6,86,True,True,0,False,True,1,0,False,True,True,purchased
Monday,41,female,adult,16:52,18:59,127,Skirts & Dresses;Stockings;Jeans;Underwear,4,44,True,True,0,False,True,1,0,False,True,True,purchased
Monday,42,female,adult,16:57,18:17,80,Underwear;Tops;Hats & Handbags,3,25,False,False,,False,True,3,5,True,False,False,queued
Monday,43,female,young,17:02,17:42,40,Stockings;Underwear;Hats & Handbags,3,21,True,False,,True,True,1,0,False,True,True,purchased
Monday,44,female,senior,17:08,18:14,66,Skirts & Dresses;Pants;Tops;Hats & Handbags,4,18,False,False,,False,True,2,1,False,True,True,purchased
Monday,45,male,young,17:14,17:46,32,Hats & Handbags;Tops,2,8,True,True,0,False,True,1,0,False,True,True,purchased
